Designator,Mid X,Mid Y,Rotation,Layer
C1,13.307,6.936,180.0,top
C10,33.119,9.222,270.0,top
C11,26.769,18.366,0.0,top
C12,25.626,24.208,180.0,top
C13,41.628,15.953,180.0,top
C14,11.91,20.017,90.0,top
C15,26.769,14.937,0.0,top
C2,10.259,12.524,180.0,top
C3,13.307,5.793,180.0,top
C4,14.958,2.872,90.0,top
C5,22.959,4.777,0.0,top
C6,22.959,7.063,180.0,top
C7,15.974,12.27,180.0,top
C8,41.6505,12.1205,90.0,top
C9,26.769,17.223,0.0,top
D1,5.769,11.0,180.0,top
D2,8.227,4.269,90.0,top
D3,22.959,2.364,180.0,top
D4,15.212,9.222,180.0,top
D5,29.8932,9.222,270.0,top
FB1,26.134,7.317,0.0,top
FB2,10.259,11.0,0.0,top
J1,1.623,14.81,180.0,top
J3,33.612,26.372,90.0,top
L1,20.419,10.746,90.0,top
R1,5.052,13.54,0.0,top
R10,26.134,2.364,180.0,top
R11,4.163,24.843,270.0,top
R12,25.626,22.938,180.0,top
R13,34.262,9.222,270.0,top
R14,26.769,16.08,0.0,top
R15,31.0616,9.222,90.0,top
R2,20.8,2.872,270.0,top
R3,22.959,3.507,180.0,top
R4,13.307,4.65,0.0,top
R5,19.657,2.872,90.0,top
R6,22.959,5.92,180.0,top
R7,13.815,2.872,270.0,top
R8,16.101,2.872,270.0,top
R9,18.514,2.872,270.0,top
U1,18.26,5.92,270.0,top
U2,7.338,19.89,90.0,top
U3,20.419,21.287,270.0,top
U4,33.881,16.334,90.0,top
Y1,41.628,18.747,270.0,top
Y2,14.45,19.255,270.0,top
