Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,1,Buzzer,C255315
"C1, C10, C11, C13, C15, C16, C17, C22, C23, C24, C25, C4, C5, C8",0402,14,100nF 50V,C77020
C12,0402,1,220pF 50V,C107025
C14,0603,1,4.7uF 35V,C162274
"C18, C27, C28, C29, C30",0402,5,10nF 50V,C15195
"C19, C9",0402,2,10uF 10V,C315248
"C2, C3",0402,2,12pF,C76948
C20,0805,1,22uF 10V,C380336
C21,CP_EIA-3216-10_Kemet-I,1,22uF 16V,C782264
C26,CP_EIA-3216-10_Kemet-I,1,10uF 10V,C7177
"C6, C7",0402,2,47pF 50V,C76970
"D1, D5",D_SOD-323,2,B0530WS,C2961213
D2,LED_Cree-PLCC4_2x2mm_CW,1,RGB,C375569
D3,SOT-23,1,NUP2105LT1G,C2890118
D4,0402,1,LED.O,C434447
D6,D_SMA,1,SMAJ30CA,C356367
D7,D_SOD-123,1,1N4007W,C3018540
F1,1812,1,1A,C782762
"FB1, FB2, FB5, FB6",0402,4,150Ω@100MHz,C160612
FB3,0603,1,300Ω@100MHz,C401489
FB4,0805,1,300Ω@100MHz,C67451
"J1, J2",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15,C2897378
J3,Molex_PicoBlade_53261-0571_1x05-1MP_P1.25mm_Horizontal,1,Conn_01x05,C481427
J4,PinHeader_1x04_P2.54mm_Vertical,1,SW,
L1,L_Bourns-SRN4018,1,10uH,C135244
Q1,SOT-23,1,2N7002K,C2848187
"R1, R16, R2, R4",0402,4,10KΩ,C25744
"R10, R9",0402,2,4.7KΩ,C25900
"R11, R12, R13, R17, R18, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37",0402,18,100Ω,C25076
R14,0805,1,120Ω,C17437
"R15, R5",0402,2,150Ω,C25082
R20,0603,1,1K,C21190
"R21, R23, R24",0402,3,100KΩ,C25741
R22,0402,1,13.7KΩ,C25854
R3,0402,1,1MΩ,C138033
"R6, R7",0402,2,47Ω,C25168
R8,0402,1,1KΩ,C11702
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT6,C8304
U2,SOT-23-5,1,FT24C64A,C5263778
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3,C5342108
U4,JDY-08,1,YM23,C2905738
U5,SOT-353_SC-70-5,1,74AHC1G08SE-7,C459531
U6,SO-8_3.9x4.9mm_P1.27mm,1,TJA1027T,C194371
U7,SOT-23-6,1,LMR51420XDDCR,C5246146
U8,SOT-23-5,1,LP2985A-33DBVR,C89826
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16MHZ,C13738
